fixture	label	scope	baseline_gas	candidate_gas	gas_delta	baseline_net_bytes	candidate_net_bytes	storage_delta_bytes	cpu_delta	baseline_deposits_ugnot	candidate_deposits_ugnot	baseline_refunds_ugnot	candidate_refunds_ugnot	storage_delta_ugnot	gas_fee_delta_ugnot	net_delta_ugnot	storage_delta_gnot	gas_fee_delta_gnot	net_delta_gnot
position_stake_position_filetest.gno	StakeToken	execution-segment-repricing	10624583	10626856	2273	23393	23393	0	1705	2445400	2445400	106100	106100	0	2.273	2.273	0.000000	+0.000002	+0.000002
raw_uint_tree_key_magnitude_filetest.gno	UintTree Set (0)	execution-segment-repricing	73225	73225	0	0	0	0	0	0	0	0	0	0	0	0	0.000000	0.000000	0.000000
raw_uint_tree_key_magnitude_filetest.gno	UintTree Get (0)	execution-segment-repricing	56128	56128	0	0	0	0	0	0	0	0	0	0	0	0	0.000000	0.000000	0.000000
raw_uint_tree_key_magnitude_filetest.gno	UintTree Set (1)	execution-segment-repricing	57310	57310	0	0	0	0	0	0	0	0	0	0	0	0	0.000000	0.000000	0.000000
raw_uint_tree_key_magnitude_filetest.gno	UintTree Get (1)	execution-segment-repricing	56128	56128	0	0	0	0	0	0	0	0	0	0	0	0	0.000000	0.000000	0.000000
raw_uint_tree_key_magnitude_filetest.gno	UintTree Set (255)	execution-segment-repricing	57310	57310	0	0	0	0	0	0	0	0	0	0	0	0	0.000000	0.000000	0.000000
raw_uint_tree_key_magnitude_filetest.gno	UintTree Get (255)	execution-segment-repricing	56128	56128	0	0	0	0	0	0	0	0	0	0	0	0	0.000000	0.000000	0.000000
raw_uint_tree_key_magnitude_filetest.gno	UintTree Set (256)	execution-segment-repricing	57310	57310	0	0	0	0	0	0	0	0	0	0	0	0	0.000000	0.000000	0.000000
raw_uint_tree_key_magnitude_filetest.gno	UintTree Get (256)	execution-segment-repricing	56128	56128	0	0	0	0	0	0	0	0	0	0	0	0	0.000000	0.000000	0.000000
raw_uint_tree_key_magnitude_filetest.gno	UintTree Set (65535)	execution-segment-repricing	57310	57310	0	0	0	0	0	0	0	0	0	0	0	0	0.000000	0.000000	0.000000
raw_uint_tree_key_magnitude_filetest.gno	UintTree Get (65535)	execution-segment-repricing	56128	56128	0	0	0	0	0	0	0	0	0	0	0	0	0.000000	0.000000	0.000000
raw_uint_tree_key_magnitude_filetest.gno	UintTree Set (4294967295)	execution-segment-repricing	57310	57310	0	0	0	0	0	0	0	0	0	0	0	0	0.000000	0.000000	0.000000
raw_uint_tree_key_magnitude_filetest.gno	UintTree Get (4294967295)	execution-segment-repricing	56128	56128	0	0	0	0	0	0	0	0	0	0	0	0	0.000000	0.000000	0.000000
raw_uint_tree_key_magnitude_filetest.gno	UintTree Set (9223372036854775807)	execution-segment-repricing	57310	57310	0	0	0	0	0	0	0	0	0	0	0	0	0.000000	0.000000	0.000000
raw_uint_tree_key_magnitude_filetest.gno	UintTree Get (9223372036854775807)	execution-segment-repricing	56128	56128	0	0	0	0	0	0	0	0	0	0	0	0	0.000000	0.000000	0.000000
router_exact_in_single_swap_route_grc20_fee10000_filetest.gno	ExactInSingleSwapRoute(grc20) - fee:10000	execution-segment-repricing	26899658	26985509	85851	9054	9060	6	47936	906000	906000	600	0	600	85.851	685.851	+0.000600	+0.000086	+0.000686
router_exact_in_single_swap_route_grc20_fee100_filetest.gno	ExactInSingleSwapRoute(grc20) - fee:100	execution-segment-repricing	31477656	31576229	98573	9054	9060	6	59604	906000	906000	600	0	600	98.573	698.573	+0.000600	+0.000099	+0.000699
router_exact_in_single_swap_route_grc20_fee3000_filetest.gno	ExactInSingleSwapRoute(grc20) - fee:3000	execution-segment-repricing	26963995	27049846	85851	9054	9060	6	47936	906000	906000	600	0	600	85.851	685.851	+0.000600	+0.000086	+0.000686
router_exact_in_single_swap_route_grc20_fee500_filetest.gno	ExactInSingleSwapRoute(grc20) - fee:500	execution-segment-repricing	26826232	26912083	85851	9054	9060	6	47936	906000	906000	600	0	600	85.851	685.851	+0.000600	+0.000086	+0.000686
router_exact_in_swap_route_grc20_fee10000_filetest.gno	ExactInSwapRoute(grc20) - fee:10000	execution-segment-repricing	26138128	26223979	85851	9054	9060	6	47936	906000	906000	600	0	600	85.851	685.851	+0.000600	+0.000086	+0.000686
