fixture	workload	assumed_refund_realms	baseline_gas	candidate_gas	gas_delta	baseline_net_bytes	candidate_net_bytes	storage_delta_bytes	cpu_delta	deposit_gain_ugnot	refund_gain_ugnot	storage_gain_ugnot	gas_repricing_gain_ugnot	net_gain_ugnot	net_5pct_gas_margin_ugnot	net_fixed_fee_ugnot
raw_uint_tree_key_magnitude_filetest.gno	UintTree Get (256)		56128	56128	0	0	0	0	0	0	0	0	0	0	0	0
raw_uint_tree_key_magnitude_filetest.gno	UintTree Set (65535)		57310	57310	0	0	0	0	0	0	0	0	0	0	0	0
raw_uint_tree_key_magnitude_filetest.gno	UintTree Get (65535)		56128	56128	0	0	0	0	0	0	0	0	0	0	0	0
raw_uint_tree_key_magnitude_filetest.gno	UintTree Set (4294967295)		57310	57310	0	0	0	0	0	0	0	0	0	0	0	0
raw_uint_tree_key_magnitude_filetest.gno	UintTree Get (4294967295)		56128	56128	0	0	0	0	0	0	0	0	0	0	0	0
raw_uint_tree_key_magnitude_filetest.gno	UintTree Set (9223372036854775807)		57310	57310	0	0	0	0	0	0	0	0	0	0	0	0
raw_uint_tree_key_magnitude_filetest.gno	UintTree Get (9223372036854775807)		56128	56128	0	0	0	0	0	0	0	0	0	0	0	0
router_exact_in_single_swap_route_grc20_fee10000_filetest.gno	ExactInSingleSwapRoute(grc20) - fee:10000		26973823	26974324	501	9054	9054	0	0	0	0	0	-0.501	-0.501	-0.52605	0
router_exact_in_single_swap_route_grc20_fee100_filetest.gno	ExactInSingleSwapRoute(grc20) - fee:100		31564543	31565044	501	9054	9054	0	0	0	0	0	-0.501	-0.501	-0.52605	0
router_exact_in_single_swap_route_grc20_fee3000_filetest.gno	ExactInSingleSwapRoute(grc20) - fee:3000		27038160	27039156	996	9054	9054	0	0	0	0	0	-0.996	-0.996	-1.0458	0
router_exact_in_single_swap_route_grc20_fee500_filetest.gno	ExactInSingleSwapRoute(grc20) - fee:500		26900397	26900898	501	9054	9054	0	0	0	0	0	-0.501	-0.501	-0.52605	0
router_exact_in_swap_route_grc20_fee10000_filetest.gno	ExactInSwapRoute(grc20) - fee:10000		26212293	26212794	501	9054	9054	0	0	0	0	0	-0.501	-0.501	-0.52605	0
router_exact_in_swap_route_grc20_fee100_filetest.gno	ExactInSwapRoute(grc20) - fee:100		30820317	30820818	501	9054	9054	0	0	0	0	0	-0.501	-0.501	-0.52605	0
router_exact_in_swap_route_grc20_fee3000_filetest.gno	ExactInSwapRoute(grc20) - fee:3000		26285282	26286278	996	9054	9054	0	0	0	0	0	-0.996	-0.996	-1.0458	0
router_exact_in_swap_route_grc20_fee500_filetest.gno	ExactInSwapRoute(grc20) - fee:500		26156171	26156672	501	9054	9054	0	0	0	0	0	-0.501	-0.501	-0.52605	0
router_exact_out_single_swap_route_grc20_fee10000_filetest.gno	ExactOutSingleSwapRoute(grc20) - fee:10000		28806824	28807325	501	9054	9054	0	0	0	0	0	-0.501	-0.501	-0.52605	0
router_exact_out_single_swap_route_grc20_fee100_filetest.gno	ExactOutSingleSwapRoute(grc20) - fee:100		33248320	33248821	501	9054	9054	0	0	0	0	0	-0.501	-0.501	-0.52605	0
